amount_vars,sudoku_idx,solving_time,avg_backtracks,avg_splits
1,0,16.983461141586304,5284.0,2680.0
1,1,1.3509910106658936,273.0,175.0
1,2,4.853923082351685,1436.0,765.0
1,3,629.2460238933563,220842.0,110458.0
1,4,1.0297460556030273,111.0,92.0
1,5,0.9437308311462402,111.0,90.0
1,6,5.598168134689331,1692.0,880.0
1,7,6.166325807571411,1941.0,1006.0
1,8,1.027608871459961,111.0,92.0
1,9,0.6760299205780029,28.0,43.0
10,0,0.559952974319458,36.0,42.0
10,1,431.7122468948364,141884.0,70973.0
10,2,0.5964159965515137,39.0,38.0
10,3,0.5650742053985596,29.0,42.0
10,4,0.6697769165039062,64.0,57.0
10,5,0.6213507652282715,48.0,49.0
10,6,0.5295870304107666,24.0,35.0
10,7,0.9710230827331543,217.0,133.0
10,8,0.5370771884918213,22.0,32.0
10,9,0.577686071395874,40.0,42.0
11,0,0.6515100002288818,58.0,50.0
